,,,LLEGADA_RELOJ,,,FIN_CONTROL_RELOJ,,,,,,,RESULTADO_DE_CONTROL,,EMPLEADO_1,,EMPLEADO_2,,EMPLEADO_3,,,,,,,Reloj_0,,Reloj_1,,Reloj_2,,Reloj_3,,Reloj_4,,Reloj_5,,Reloj_6,,Reloj_7,,Reloj_8,,Reloj_9,,Reloj_10,,Reloj_11,,Reloj_12,,Reloj_13,,Reloj_14,,Reloj_15,,Reloj_16,,Reloj_17,,Reloj_18,,Reloj_19,,Reloj_20,,Reloj_21,,Reloj_22,,Reloj_23,,Reloj_24,,Reloj_25,,Reloj_26,,Reloj_27,,Reloj_28,,Reloj_29,,Reloj_30,,Reloj_31,,Reloj_32,,Reloj_33,,Reloj_34,,Reloj_35,,Reloj_36,,Reloj_37,,Reloj_38,,Reloj_39,,Reloj_40,,Reloj_41,,Reloj_42,,Reloj_43,,Reloj_44,,Reloj_45,,Reloj_46,,Reloj_47,,Reloj_48,,Reloj_49,,Reloj_50,,Reloj_51,,Reloj_52,,Reloj_53,,Reloj_54,,Reloj_55,,Reloj_56,,Reloj_57,,Reloj_58,,Reloj_59,,Reloj_60,,Reloj_61,,Reloj_62,,Reloj_63,,Reloj_64,,Reloj_65,,Reloj_66,,Reloj_67,,Reloj_68,,Reloj_69,,Reloj_70,
10,FinControlReloj_3,5.25,,,6.69,0.31,0.71,4.67,4.29,4.53,6.28,5.25,0.16,OK,Ocupado,5.14,Ocupado,4.61,Ocupado,4.59,2,8.370000240802764,7,2,9.06,Fallado,0.08,Siendo_Controlado_Emp2,0.61,OK,0.64,Siendo_Controlado_Emp1,0.92,Siendo_Controlado_Emp3,2.01,En_Cola,3.8,En_Cola,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,FinControlReloj_2,6.28,,,6.69,0.31,0.71,4.67,4.29,4.53,6.28,5.25,0.29,OK,Ocupado,6.17,Ocupado,5.64,Ocupado,5.62,1,10.430000240802764,7,3,14.73,Fallado,0.08,OK,0.61,OK,0.64,Siendo_Controlado_Emp1,0.92,Siendo_Controlado_Emp3,2.01,Siendo_Controlado_Emp2,3.8,En_Cola,5.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,LlegadaReloj,6.69,0.44,0.34,7.03,0.31,0.71,4.67,4.29,4.53,6.28,5.25,,,Ocupado,6.57,Ocupado,6.04,Ocupado,6.02,2,10.840000030994414,8,3,14.73,Fallado,0.08,OK,0.61,OK,0.64,Siendo_Controlado_Emp1,0.92,Siendo_Controlado_Emp3,2.01,Siendo_Controlado_Emp2,3.8,En_Cola,5.18,En_Cola,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,LlegadaReloj,7.03,0.12,0.07,7.1,0.31,0.71,4.67,4.29,4.53,6.28,5.25,,,Ocupado,6.9,Ocupado,6.37,Ocupado,6.35,3,11.519999916553497,9,3,14.73,Fallado,0.08,OK,0.61,OK,0.64,Siendo_Controlado_Emp1,0.92,Siendo_Controlado_Emp3,2.01,Siendo_Controlado_Emp2,3.8,En_Cola,5.18,En_Cola,6.69,En_Cola,7.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,LlegadaReloj,7.1,0.8,0.96,8.05,0.31,0.71,4.67,4.29,4.53,6.28,5.25,,,Ocupado,6.96,Ocupado,6.43,Ocupado,6.41,4,11.729999287128447,10,3,14.73,Fallado,0.08,OK,0.61,OK,0.64,Siendo_Controlado_Emp1,0.92,Siendo_Controlado_Emp3,2.01,Siendo_Controlado_Emp2,3.8,En_Cola,5.18,En_Cola,6.69,En_Cola,7.03,En_Cola,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,LlegadaReloj,8.05,0.89,1.32,9.37,0.31,0.71,4.67,4.29,4.53,6.28,5.25,,,Ocupado,7.91,Ocupado,7.38,Ocupado,7.36,5,15.529999668598176,11,3,14.73,Fallado,0.08,OK,0.61,OK,0.64,Siendo_Controlado_Emp1,0.92,Siendo_Controlado_Emp3,2.01,Siendo_Controlado_Emp2,3.8,En_Cola,5.18,En_Cola,6.69,En_Cola,7.03,En_Cola,7.1,En_Cola,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,LlegadaReloj,9.37,0.54,0.46,9.83,0.31,0.71,4.67,4.29,4.53,6.28,5.25,,,Ocupado,9.22,Ocupado,8.69,Ocupado,8.67,6,22.129998714923858,12,3,14.73,Fallado,0.08,OK,0.61,OK,0.64,Siendo_Controlado_Emp1,0.92,Siendo_Controlado_Emp3,2.01,Siendo_Controlado_Emp2,3.8,En_Cola,5.18,En_Cola,6.69,En_Cola,7.03,En_Cola,7.1,En_Cola,8.05,En_Cola,9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,LlegadaReloj,9.83,0.93,1.59,11.42,0.31,0.71,4.67,4.29,4.53,6.28,5.25,,,Ocupado,9.68,Ocupado,9.15,Ocupado,9.13,7,24.889999401569366,13,3,14.73,Fallado,0.08,OK,0.61,OK,0.64,Siendo_Controlado_Emp1,0.92,Siendo_Controlado_Emp3,2.01,Siendo_Controlado_Emp2,3.8,En_Cola,5.18,En_Cola,6.69,En_Cola,7.03,En_Cola,7.1,En_Cola,8.05,En_Cola,9.37,En_Cola,9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,FinControlReloj_5,9.92,,,11.42,0.69,0.8,5.08,3.92,4.53,6.28,5.25,0.31,OK,Ocupado,9.77,Ocupado,9.24,Ocupado,9.22,6,25.519999935626984,13,4,22.64,Fallado,0.08,OK,0.61,OK,0.64,Siendo_Controlado_Emp1,0.92,OK,2.01,Siendo_Controlado_Emp2,3.8,Siendo_Controlado_Emp3,5.18,En_Cola,6.69,En_Cola,7.03,En_Cola,7.1,En_Cola,8.05,En_Cola,9.37,En_Cola,9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,FinControlReloj_4,10.29,,,11.42,0.69,0.8,5.08,3.92,4.53,6.28,5.25,0.15,OK,Ocupado,10.13,Ocupado,9.6,Ocupado,9.58,5,27.739999477863307,13,5,32.01,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Siendo_Controlado_Emp2,3.8,Siendo_Controlado_Emp3,5.18,Siendo_Controlado_Emp1,6.69,En_Cola,7.03,En_Cola,7.1,En_Cola,8.05,En_Cola,9.37,En_Cola,9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
